Q16,Q40,Polarity,
4,0,0.25,
3,0,0.252083333,
4,1,0.256944444,
4,6,0.2575,
5,0,0.259090909,
3,3,0.259375,
4,2,0.2625,
4,1,0.2625,
4,2,0.263461538,
3,0,0.266666667,
4,0,0.269444444,
4,0,0.275,
4,1,0.275,
3,1,0.275,
3,0,0.275595238,
4,2,0.275757576,
4,6,0.276587302,
4,0,0.282142857,
2,0,0.283333333,
1,6,0.285416667,
3,0,0.285714286,
1,1,0.285833333,
4,0,0.288888889,
3,0,0.289285714,
4,2,0.289583333,
2,0,0.291666667,
4,0,0.3,
4,2,0.3,
4,3,0.3,
4,5,0.308333333,
4,1,0.333333333,
2,1,0.338888889,
4,2,0.345454545,
4,5,0.375,
1,0,0.383333333,
4,1,0.4,
4,6,0.4,
4,3,0.403333333,
1,1,0.433333333,
4,0,0.44,
2,1,0.44,
4,2,0.444444444,
2,1,0.45,
2,1,0.45,
4,0,0.45,
4,1,0.458333333,
4,1,0.458333333,
1,0,0.466666667,
4,2,0.466666667,
4,0,0.479166667,
4,1,0.5,
4,0,0.5,
2,0,0.5,
4,0,0.5,
3,0,0.515,
4,5,0.52,
3,1,0.55,
4,0,0.566666667,
4,1,0.6,
1,5,0.6,
4,3,0.675,
